event,time_sec,x_joint_mm,y_joint_mm,z_joint_mm,x_encoder_mm,y_encoder_mm,z_encoder_mm,x_error_mm,y_error_mm,z_error_mm,euclidean_error_mm,q1_mae_deg,q2_mae_deg,q3_mae_deg,q1_rmse_deg,q2_rmse_deg,q3_rmse_deg,x_mae_mm,y_mae_mm,z_mae_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,euclidean_mae_mm,euclidean_rmse_mm,run_id
PICK,1.61901819,-80.00000028863509,-1.1196775051228982e-06,-319.99999805468406,-74.4470345307032,1.3783713698568043,-317.18732151368795,5.552965757931887,1.3783724895343097,2.812676540996108,6.375459885603461,0.4943880383093518,0.587691238489208,0.2066130536330929,0.79249228140094,1.0498461443663,0.3271367216970172,3.229726081353661,1.213744896161457,2.3152748376314776,3.978513938068255,1.2248587336741017,2.368101777432613,4.330864607806504,4.789233560930246,1
PLACE,3.845429468,80.00000028863509,-1.1196775051228982e-06,-319.99999805468406,80.90648669341053,-1.0491184224661096,-318.1821249204172,0.9064864047754356,-1.0491173027886045,1.817873134266847,2.2862693300095467,0.4943880383093518,0.587691238489208,0.2066130536330929,0.79249228140094,1.0498461443663,0.3271367216970172,3.229726081353661,1.213744896161457,2.3152748376314776,3.978513938068255,1.2248587336741017,2.368101777432613,4.330864607806504,4.789233560930246,1
PICK,1.540207385,19.99999628937944,-60.00000448584496,-320.0000006748872,22.996973469095757,-59.89750150596982,-317.56872329311835,2.996977179716314,0.1025029798751404,2.4312773817688367,3.860503695597812,0.4470254076923071,0.509522341730768,0.2322748948076919,0.7094719770701342,0.7479689512026083,0.3790845738564171,2.305314013717764,0.0894221798199517,2.3329966807508526,2.406838307207745,0.0903738544814572,2.335065868147424,3.308987915242813,3.3546342094487085,10
PLACE,3.719125228,-20.000001465572097,60.00000369383893,-319.9999984725249,-18.386350617852884,59.92366231407417,-317.76528249279204,1.6136508477192135,-0.0763413797647629,2.2347159797328686,2.757472134887814,0.4470254076923071,0.509522341730768,0.2322748948076919,0.7094719770701342,0.7479689512026083,0.3790845738564171,2.305314013717764,0.0894221798199517,2.3329966807508526,2.406838307207745,0.0903738544814572,2.335065868147424,3.308987915242813,3.3546342094487085,10
PICK,1.561057712,59.999998124686485,39.99999841466474,-319.99999897325864,60.63487911330124,38.82525604257672,-318.7730337258959,0.6348809886147535,-1.1747423720880192,1.2269652473627275,1.8134324439358944,0.6346194306074756,0.6546619189252328,0.2559837119158876,0.8893862495075726,1.0257124092562395,0.384476376943217,3.098199133297186,0.9561399926181268,2.168940591228818,3.958127606771305,0.9808112386151018,2.364660829110943,4.114216577357703,4.713850408531276,11
PLACE,3.792178135,-60.00000271856706,-40.00000249321711,-320.000000994218,-54.43848544058744,-39.26246488006888,-316.8890850591231,5.561517277979618,0.7375376131482341,3.1109159350949085,6.415000710779512,0.6346194306074756,0.6546619189252328,0.2559837119158876,0.8893862495075726,1.0257124092562395,0.384476376943217,3.098199133297186,0.9561399926181268,2.168940591228818,3.958127606771305,0.9808112386151018,2.364660829110943,4.114216577357703,4.713850408531276,11
PICK,1.588739806,79.9999991400881,20.000007165296548,-319.99999985881703,80.47830441180125,18.69178506575375,-318.98357025833747,0.4783052717131539,-1.3082220995427996,1.0164296004795688,1.7243404905678636,0.6989992145408157,0.7582267585714281,0.2716359571428569,0.939534093969052,1.175314994310823,0.3886325503878231,3.1088114297888865,1.1260942921134216,0.9832096576807032,4.072379053288184,1.1407273525998491,0.9837707027331956,3.8089192826537657,4.342042703864852,12
PLACE,3.868961376,-80.00000113326843,-20.000004692936383,-319.999999089054,-74.26068354540381,-19.05603820825234,-319.05000937417213,5.739317587864619,0.9439664846840436,0.9499897148818376,5.893498074739668,0.6989992145408157,0.7582267585714281,0.2716359571428569,0.939534093969052,1.175314994310823,0.3886325503878231,3.1088114297888865,1.1260942921134216,0.9832096576807032,4.072379053288184,1.1407273525998491,0.9837707027331956,3.8089192826537657,4.342042703864852,12
PICK,1.5137134,-40.00000132558206,3.363643675935204e-06,-319.9999999245336,-36.29852338112798,0.4084426804878759,-318.21505658967857,3.701477944454084,0.4084393168442,1.7849433348550292,4.129622786341094,0.6276067024038456,0.5656439088942294,0.2650919139423069,0.9020659447479348,0.8243942678463763,0.4016592512381646,2.5097325627461515,0.5816795627142872,2.79332771346148,2.7783114640605997,0.6069293999046452,2.969767460561425,4.111760889234731,4.111799685977981,13
PLACE,3.534274547,40.00000132558206,3.363643675935204e-06,-319.9999999245336,41.31798850662028,-0.7549164449406986,-316.19828783246567,1.3179871810382195,-0.7549198085843746,3.8017120920679295,4.093898992128367,0.6276067024038456,0.5656439088942294,0.2650919139423069,0.9020659447479348,0.8243942678463763,0.4016592512381646,2.5097325627461515,0.5816795627142872,2.79332771346148,2.7783114640605997,0.6069293999046452,2.969767460561425,4.111760889234731,4.111799685977981,13
PICK,1.469454161,0.0,-40.000001797735685,-320.00000068752524,3.0131713763765937,-40.06231307698133,-317.15780976395246,3.0131713763765937,-0.0623112792456481,2.8421909235727867,4.142599870247666,0.6726427671022723,0.6322531448863628,0.2937544446022723,0.9211621143268428,0.8582251269378155,0.4182606967951456,2.582413891006576,0.1491085037624913,2.291916048521045,2.618093488717702,0.1725314582275248,2.357049344324708,3.460417530728627,3.5270188872935844,14
PLACE,3.524541047,0.0,40.00000766638812,-319.9999981110452,2.1516564056365586,39.76410193810879,-318.25835693757585,2.1516564056365586,-0.2359057282793344,1.7416411734693042,2.778235191209588,0.6726427671022723,0.6322531448863628,0.2937544446022723,0.9211621143268428,0.8582251269378155,0.4182606967951456,2.582413891006576,0.1491085037624913,2.291916048521045,2.618093488717702,0.1725314582275248,2.357049344324708,3.460417530728627,3.5270188872935844,14
PICK,1.561687432,-20.000001465572097,60.00000369383893,-319.9999984725249,-17.757758391301,60.01069776607419,-318.4876510289811,2.242243074271098,0.0106940722352533,1.512347443543831,2.704618856196052,0.5238866740833328,0.5483496985416655,0.2466798791666661,0.7938686109535943,0.7913578098341159,0.3786053569007237,2.6225989742632247,0.2261116874598379,1.7908780972348666,2.650036979075073,0.3122999266009881,1.8124082553887055,3.1890959344966103,3.225686115979274,15
PLACE,3.764520929,19.99999628937944,-60.00000448584496,-320.0000006748872,23.00295116363479,-59.55847518316054,-317.9305919239613,3.002954874255352,0.4415293026844225,2.069408750925902,3.673573012797169,0.5238866740833328,0.5483496985416655,0.2466798791666661,0.7938686109535943,0.7913578098341159,0.3786053569007237,2.6225989742632247,0.2261116874598379,1.7908780972348666,2.650036979075073,0.3122999266009881,1.8124082553887055,3.1890959344966103,3.225686115979274,15
PICK,1.561611993,-59.99999575365582,-19.99999640849039,-320.0000011809656,-55.16005825075538,-19.02270557027049,-318.66650430529563,4.83993750290044,0.977290838219897,1.3334968756699936,5.114519169176349,0.43876364477848,0.4981732210443024,0.1927145392721514,0.7459146043489406,0.8669841992169934,0.3396490155629433,2.814487575293533,0.9173847412631932,1.385963803986158,3.4675333770166508,0.9193386231172506,1.3869565402443995,3.48285844566952,3.846117479901821,2
PLACE,3.757307311,59.99999749035118,20.000008361179265,-320.0000001511389,60.78903513803781,19.142529716872776,-318.5615694188366,0.7890376476866265,-0.8574786443064895,1.4384307323023222,1.8511977221626907,0.43876364477848,0.4981732210443024,0.1927145392721514,0.7459146043489406,0.8669841992169934,0.3396490155629433,2.814487575293533,0.9173847412631932,1.385963803986158,3.4675333770166508,0.9193386231172506,1.3869565402443995,3.48285844566952,3.846117479901821,2
PICK,1.567301069,-40.000009428473085,-40.000001641243976,-319.99999759755315,-35.86245335784821,-39.07874910125964,-318.0658264629249,4.137556070624875,0.9212525399843372,1.934171134628229,4.659301928188535,0.7126729917613632,0.7365231193181813,0.3162066224431812,0.9386375885115384,1.0395371952177244,0.4193784234562352,2.5262870898728487,0.6328061251521326,1.9679974900919888,2.9963835183086798,0.6954458471078886,1.9682881758859212,3.443556307777728,3.651864928825249,3
PLACE,3.738056159,40.00000389729865,39.99999892612377,-320.0000016176268,40.91502200641947,39.655639215803845,-317.998177772071,0.9150181091208224,-0.344359710319928,2.001823845555748,2.227810687366921,0.7126729917613632,0.7365231193181813,0.3162066224431812,0.9386375885115384,1.0395371952177244,0.4193784234562352,2.5262870898728487,0.6328061251521326,1.9679974900919888,2.9963835183086798,0.6954458471078886,1.9682881758859212,3.443556307777728,3.651864928825249,3
PICK,1.525580767,0.0,-60.0000043411633,-320.0000031862349,3.620782410965884,-59.59719675800157,-317.71820729242825,3.620782410965884,0.4028075831617315,2.2817958938067022,4.298710471479284,0.3823078300955408,0.4395206006369413,0.1837981770700631,0.6736644343803273,0.7202635411130646,0.3279175021427806,2.623662937120262,0.4460424217283432,2.3856054869345087,2.8067515837246253,0.4481328968589185,2.3878630553106257,3.656191600130685,3.7122186784866615,4
PLACE,3.755129463,0.0,59.99999637375772,-320.00000265925195,1.6265434632746405,59.51071911346276,-317.51058757918963,1.6265434632746405,-0.4892772602949549,2.489415080062315,3.013672728782085,0.3823078300955408,0.4395206006369413,0.1837981770700631,0.6736644343803273,0.7202635411130646,0.3279175021427806,2.623662937120262,0.4460424217283432,2.3856054869345087,2.8067515837246253,0.4481328968589185,2.3878630553106257,3.656191600130685,3.7122186784866615,4
PICK,1.567863606,59.99999575365582,-19.99999640849039,-320.0000011809656,61.49926108054583,-20.89112761288496,-318.05578442218814,1.4992653268900114,-0.8911312043945685,1.944216758777486,2.611874834093617,0.4604739050347213,0.4708743043402765,0.1976321514930551,0.7501125499635901,0.7689556306344593,0.3313755438921865,3.035193634621088,0.8205294430685051,2.670056611526718,3.401687252839981,0.8235612761930065,2.7669560532463406,4.177768720230324,4.461588858509403,5
PLACE,3.737584105,-59.99999749035118,20.000008361179265,-320.0000001511389,-55.42887554799901,20.749936042921707,-316.60410368686297,4.571121942352164,0.7499276817424416,3.3958964642759497,5.743662606367031,0.4604739050347213,0.4708743043402765,0.1976321514930551,0.7501125499635901,0.7689556306344593,0.3313755438921865,3.035193634621088,0.8205294430685051,2.670056611526718,3.401687252839981,0.8235612761930065,2.7669560532463406,4.177768720230324,4.461588858509403,5
PICK,1.592770216,80.00000028863509,-1.1196775051228982e-06,-319.99999805468406,81.00673650727093,-0.8751847346112135,-316.30878773528605,1.0067362186358366,-0.8751836149337083,3.69121031939801,3.924856404480548,0.5570999919999993,0.6171751631999989,0.2278970589999993,0.8352378738382888,1.0264971217272183,0.3598345538438251,3.229271646384035,0.786168959915876,2.2792430508660857,3.920186104477149,0.791192291635323,2.6811565512529936,4.744531353680721,4.814815135434145,6
PLACE,3.876954776,-80.00000028863509,-1.1196775051228982e-06,-319.99999805468406,-74.54819321450286,0.6971531852205385,-319.1327222723499,5.451807074132233,0.6971543048980436,0.8672757823341612,5.564206302880894,0.5570999919999993,0.6171751631999989,0.2278970589999993,0.8352378738382888,1.0264971217272183,0.3598345538438251,3.229271646384035,0.786168959915876,2.2792430508660857,3.920186104477149,0.791192291635323,2.6811565512529936,4.744531353680721,4.814815135434145,6
PICK,1.583208588,-79.9999991400881,20.000007165296548,-319.99999985881703,-74.71792509874257,21.42720454563373,-318.8560040687844,5.282074041345524,1.4271973803371836,1.1439957900326476,5.58980544458481,0.5443681781496057,0.6380721696850382,0.2234225826377948,0.8282519366310687,1.0347518298056229,0.3562466337933915,3.365736561503873,1.2096006196684197,1.462255144881084,3.8730520185106942,1.2290166839208343,1.496488932695375,4.04540874366341,4.33018395372821,7
